TRAIT	FILE	N	Neff	Main_GWAS	log10_Me	ID	UKBB Column Codes	Additional information on coding
Resp. & ENT Diseases	disease_RESPIRATORY_ENT	459324	452193	No		15	20002-0.0~20002-0.28	1111 (asthma); 1112 (chronic obstructive airways disease/copd); 1113 (emphysema/chronic bronchitis); 1114 (bronchiectasis); 1115 (interstitial lung disease); 1117 (other respiratory problems); 1413 (nasal/sinus disorder); 1414 (throat or larynx disorder); 1415 (ear/vestibular disorder); 1594 (respiratory infection)
Hair Color	pigment_HAIR	452720	713772	No	1.02	21	1747-0.0	1=black; 2=dark brown; 3=lightbrown; 4=blonde; 5=red
Years of Education	cov_EDU_YEARS	454813	461458	No	4.08	23	6138-0.0~6138-0.5	"College or University degree = 20 years; A levels/AS levels or equivalent = 13 years; O levels/GCSEs or equivalent = 10 years; CSEs or equivalent = 10 years; NVQ or HND or HNC or equivalent = 19 years; Other professional qualifications eg: nursing, teaching = 15 years; None of the above = 7 years; Prefer not to answer = NA; (Phenotype construction based on Okbay et al. 2016 Nature, Tables S1.2 and S1.14)"
Balding Type IV	body_BALDING4	208336	245798	No	2.59	26	2395-0.0	balding pattern 4 vs. other
High Light Scatter Reticulocyte Count	blood_HIGH_LIGHT_SCATTER_RETICULOCYTE_COUNT	437490	520011	No		27	30300-0.0	-
Mean Corpular Hemoglobin	blood_MEAN_CORPUSCULAR_HEMOGLOBIN	443686	572864	No		29	30050-0.0	-
Mean Platelet Volume	blood_MEAN_PLATELET_VOL	445163	694867	No		30	30100-0.0	-
Mean Sphered Cell Volume	blood_MEAN_SPHERED_CELL_VOL	437542	535538	No		31	30270-0.0	-
Monocyte Count	blood_MONOCYTE_COUNT	442620	545193	No		32	30130-0.0	-
Platelet Distribution Width	blood_PLATELET_DISTRIB_WIDTH	444656	572202	No	2.64	33	30110-0.0	-
Diastolic Blood Pressure	bp_DIASTOLICadjMEDz	422771	490470	No		34	4079-0.0~4079-0.1	-
College Education	cov_EDU_COLLEGE	454813	470942	No		35	6138-0.0~6138-0.5	College or University degree
Auto Immune Traits	disease_AID_ALL	459324	469185	No	2.93	36	20002-0.0~20002-0.28	1154 (ibs); 1222 (t1d); 1224 (thyroid problem); 1225 (hyperthyroidism/thyrotoxicosis); 1226 (hypothyroidism/myxoedema); 1256 (guillainBarre); 1260 (myasthenia); 1261 (ms); 1313 (as); 1372 (vasculitis); 1377 (polymyalgia); 1378 (wegeners); 1381 (sle); 1382 (sjogren); 1384 (sysSclerosis); 1437 (myasthenia); 1453 (psoriasis); 1456 (celiac); 1461 (ibd); 1462 (crohn); 1463 (uc); 1464 (ra); 1477 (psorArthritis); 1522 (grave); 1661 (vitiligo); 1667 (alopecia)
Auto Immune Traits (Sure)	disease_AID_SURE	459324	419607	No	2.93	37	20002-0.0~20002-0.28	1222 (t1d); 1256 (guillainBarre); 1260 (myasthenia); 1261 (ms); 1372 (vasculitis); 1378 (wegeners); 1381 (sle); 1382 (sjogren); 1384 (sysSclerosis); 1437 (myasthenia); 1456 (celiac); 1464 (ra); 1522 (grave); 1661 (vitiligo)
Dermatologic Diseases	disease_DERMATOLOGY	459324	459279	No		38	20002-0.0~20002-0.28	1452 (eczema/dermatitis); 1453 (psoriasis); 1454 (blistering/desquamating skin disorder); 1455 (chronic skin ulcers); 1548 (acne/acne vulgaris); 1549 (lichen planus); 1550 (lichen sclerosis); 1625 (cellulitis); 1660 (rosacea); 1661 (vitiligo); 1667 (alopecia / hair loss); 1680 (bowen's disease)
High Cholesterol	disease_HI_CHOL_SELF_REP	459324	464736	No		39	20002-0.0~20002-0.28	1473
Basal Metabolic Rate	impedance_BASAL_METABOLIC_RATEz	451316	534046	No		40	23105-0.0	-
Blonde Hair	pigment_HAIR_blonde	459324	534365	No		41	1747-0.0	-
Dark Brown Hair	pigment_HAIR_darkbrown	459324	531771	No		42	1747-0.0	-
Skin Color	pigment_SKIN	453609	548203	No		43	1717-0.0	very fair/fair vs. other
